CRIME_DATE,OFFENSE,LOCATION
2018-07-22,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-02-27,KIDNAPPING,"SCHOOL, PUBLIC, GROUNDS"
2017-03-10,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-02-22,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-01-30,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2020-09-17,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT / LAND
2020-08-01,SEX OFFENSE,CTA BUS
2019-12-03,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-04-30,HOMICIDE,NOT IDENTIFIED
2018-10-03,SEX OFFENSE,VEHICLE-COMMERCIAL - TROLLEY BUS
2018-06-27,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-07-13,HOMICIDE,PORCH
2020-03-01,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING
2019-01-01,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC BUILDING
2018-11-13,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-04-22,CRIM SEXUAL ASSAULT,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2017-11-29,STALKING,"SCHOOL, PRIVATE, BUILDING"
2020-03-02,INTIMIDATION,SCHOOL - PUBLIC BUILDING
2020-07-02,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2018-05-22,ARSON,VACANT LOT/LAND
2017-10-17,KIDNAPPING,"SCHOOL, PUBLIC, GROUNDS"
2020-07-16,HOMICIDE,NOT IDENTIFIED
2019-10-09,CRIM SEXUAL ASSAULT,CTA BUS STOP
2019-04-10,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-09-30,SEX OFFENSE,COLLEGE / UNIVERSITY - RESIDENCE HALL
2020-11-24,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-04-16,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-12-29,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-02-19,PUBLIC INDECENCY,ATHLETIC CLUB
2017-09-07,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-03-20,SEX OFFENSE,HOTEL/MOTEL
2018-01-23,HOMICIDE,NOT IDENTIFIED
2019-07-08,ARSON,RESIDENCE - GARAGE
2019-02-17,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-26,CRIM SEXUAL ASSAULT,VACANT LOT/LAND
2019-05-06,HOMICIDE,YARD
2019-07-02,SEX OFFENSE,CTA BUS STOP
2020-08-30,ARSON,RESIDENCE - GARAGE
2017-01-27,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-11-07,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-08-20,CRIMINAL SEXUAL ASSAULT,PARKING LOT / GARAGE (NON RESIDENTIAL)
2020-03-26,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC GROUNDS
2020-12-22,SEX OFFENSE,POLICE FACILITY / VEHICLE PARKING LOT
2018-06-15,LIQUOR LAW VIOLATION,"SCHOOL, PUBLIC, GROUNDS"
2017-08-11,GAMBLING,"SCHOOL, PUBLIC, GROUNDS"
2018-10-29,CRIM SEXUAL ASSAULT,MEDICAL/DENTAL OFFICE
2020-03-30,INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT / GARAGE (NON RESIDENTIAL)
2020-08-14,HOMICIDE,NOT IDENTIFIED
2017-07-15,HOMICIDE,NOT IDENTIFIED
2018-12-01,OBSCENITY,CHA HALLWAY/STAIRWELL/ELEVATOR
2020-12-01,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2020-07-16,ARSON,PARKING LOT / GARAGE (NON RESIDENTIAL)
2018-08-18,CRIMINAL SEXUAL ASSAULT,TAXICAB
2018-06-15,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-02-20,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-03-15,INTIMIDATION,GOVERNMENT BUILDING/PROPERTY
2019-09-07,HOMICIDE,PARKING LOT
2019-02-04,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2017-07-10,SEX OFFENSE,CTA STATION
2017-08-26,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-01-28,CRIM SEXUAL ASSAULT,CHA APARTMENT
2019-04-29,HOMICIDE,HOUSE
2020-01-24,INTERFERENCE WITH PUBLIC OFFICER,JAIL / LOCK-UP FACILITY
2020-02-03,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2018-04-01,SEX OFFENSE,DAY CARE CENTER
2017-07-01,INTERFERENCE WITH PUBLIC OFFICER,VEHICLE - OTHER RIDE SERVICE
2020-06-25,HOMICIDE,NOT IDENTIFIED
2020-09-23,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-05-28,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-05-30,HOMICIDE,NOT IDENTIFIED
2019-04-30,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2017-11-21,CRIM SEXUAL ASSAULT,DRUG STORE
2020-01-28,KIDNAPPING,CTA BUS STOP
2017-04-06,KIDNAPPING,"SCHOOL, PRIVATE, BUILDING"
2018-08-07,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2019-01-19,SEX OFFENSE,HOSPITAL BUILDING/GROUNDS
2019-01-11,HOMICIDE,NOT IDENTIFIED
2019-06-10,ARSON,VACANT LOT/LAND
2017-11-05,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2019-09-18,INTIMIDATION,HOTEL/MOTEL
2017-07-09,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-05-23,HOMICIDE,PORCH
2018-04-03,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-02-15,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-09-11,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-02-01,SEX OFFENSE,WAREHOUSE
2018-03-23,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-10-18,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-01-08,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2020-01-10,PROSTITUTION,TAVERN/LIQUOR STORE
2019-05-30,SEX OFFENSE,CTA BUS
2018-06-01,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2017-02-11,CRIM SEXUAL ASSAULT,OTHER RAILROAD PROP / TRAIN DEPOT
2017-09-29,HOMICIDE,PORCH
2018-05-03,SEX OFFENSE,CTA BUS STOP
2019-08-11,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-04-12,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-04-24,HOMICIDE,PORCH
2017-02-15,HOMICIDE,HOUSE
2019-10-13,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-10-07,CRIMINAL SEXUAL ASSAULT,RESIDENCE - GARAGE
2020-05-31,HOMICIDE,RETAIL STORE
2018-02-06,CONCEALED CARRY LICENSE VIOLATION,AIRPORT PARKING LOT
2019-06-12,ARSON,VACANT LOT/LAND
2020-11-22,STALKING,POLICE FACILITY / VEHICLE PARKING LOT
2018-12-24,HOMICIDE,HOUSE
2020-06-20,ARSON,TAVERN / LIQUOR STORE
2017-04-02,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-12-16,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-05-01,SEX OFFENSE,LAKEFRONT / WATERFRONT / RIVERBANK
2017-08-06,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-06-08,SEX OFFENSE,VEHICLE - COMMERCIAL
2018-10-20,HOMICIDE,NOT IDENTIFIED
2020-10-06,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2019-04-12,KIDNAPPING,"SCHOOL, PRIVATE, BUILDING"
2019-10-10,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2019-08-30,LIQUOR LAW VIOLATION,BARBERSHOP
2020-10-05,HOMICIDE,PARKING LOT
2020-05-30,ARSON,RESIDENCE - YARD (FRONT / BACK)
2020-07-20,ARSON,RESIDENCE - GARAGE
2017-11-07,NON-CRIMINAL,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
2017-08-10,HOMICIDE,HOUSE
2018-07-09,HOMICIDE,CTA BUS
2020-11-08,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-12-27,CONCEALED CARRY LICENSE VIOLATION,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
2017-03-19,SEX OFFENSE,"SCHOOL, PUBLIC, GROUNDS"
2019-12-08,SEX OFFENSE,CTA BUS
2018-01-18,ARSON,CTA PLATFORM
2019-06-17,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2018-05-25,LIQUOR LAW VIOLATION,"SCHOOL, PUBLIC, GROUNDS"
2018-08-09,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2020-08-07,INTERFERENCE WITH PUBLIC OFFICER,PARKING LOT / GARAGE (NON RESIDENTIAL)
2020-09-10,HOMICIDE,VESTIBULE
2020-08-19,SEX OFFENSE,SCHOOL - PRIVATE BUILDING
2017-06-05,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2019-08-19,INTERFERENCE WITH PUBLIC OFFICER,CHA PARKING LOT/GROUNDS
2017-11-18,CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING
2017-02-25,ARSON,VACANT LOT/LAND
2019-02-12,CRIM SEXUAL ASSAULT,ABANDONED BUILDING
2019-11-07,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-08-25,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2018-09-08,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2018-01-06,CRIM SEXUAL ASSAULT,ATHLETIC CLUB
2018-10-01,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2019-05-28,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-08-30,HOMICIDE,PARKING LOT
2018-12-04,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY/VEH PARKING LOT
2017-01-21,HOMICIDE,NOT IDENTIFIED
2017-01-01,INTIMIDATION,JAIL / LOCK-UP FACILITY
2017-07-18,HOMICIDE,HOUSE
2017-02-24,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY RESIDENCE HALL
2017-04-13,PROSTITUTION,HOTEL/MOTEL
2018-07-19,SEX OFFENSE,TAXICAB
2019-01-13,ARSON,NURSING HOME/RETIREMENT HOME
2018-06-09,SEX OFFENSE,CTA BUS
2019-08-08,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-03-25,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2017-05-03,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2020-03-13,ARSON,RESIDENCE - GARAGE
2020-05-11,HOMICIDE,NOT IDENTIFIED
2020-09-07,ARSON,RESIDENCE - GARAGE
2020-07-21,ARSON,VEHICLE - COMMERCIAL
2018-09-10,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-12-30,SEX OFFENSE,CHA APARTMENT
2017-02-01,CRIM SEXUAL ASSAULT,"SCHOOL, PUBLIC, GROUNDS"
2017-04-07,HOMICIDE,HOUSE
2020-07-14,SEX OFFENSE,DRIVEWAY - RESIDENTIAL
2020-09-05,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2020-03-29,ARSON,RESIDENCE - PORCH / HALLWAY
2020-12-21,HOMICIDE,GANGWAY
2017-07-03,SEX OFFENSE,CTA BUS
2020-07-09,HOMICIDE,NOT IDENTIFIED
2020-10-30,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2018-12-07,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2018-08-18,CRIMINAL SEXUAL ASSAULT,SCHOOL - PRIVATE GROUNDS
2019-09-12,CRIMINAL SEXUAL ASSAULT,ABANDONED BUILDING
2020-07-27,INTERFERENCE WITH PUBLIC OFFICER,POLICE FACILITY / VEHICLE PARKING LOT
2017-02-18,HOMICIDE,CLUB
2019-04-26,HOMICIDE,RETAIL STORE
2020-11-29,ARSON,RESIDENCE - YARD (FRONT / BACK)
2019-01-07,HOMICIDE,PARKING LOT
2018-07-11,HOMICIDE,VACANT LOT
2020-01-23,HOMICIDE,NOT IDENTIFIED
2020-04-20,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-08-19,SEX OFFENSE,CTA STATION
2020-04-08,SEX OFFENSE,HOTEL / MOTEL
2017-05-12,SEX OFFENSE,NURSING HOME/RETIREMENT HOME
2019-06-04,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-01-12,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2017-11-21,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-06-05,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2017-01-21,INTERFERENCE WITH PUBLIC OFFICER,JAIL / LOCK-UP FACILITY
2020-02-12,SEX OFFENSE,SCHOOL - PUBLIC GROUNDS
2017-10-27,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2020-05-01,CONCEALED CARRY LICENSE VIOLATION,PARKING LOT / GARAGE (NON RESIDENTIAL)
2017-03-17,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-05-27,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2018-01-01,CRIMINAL SEXUAL ASSAULT,RESIDENCE - GARAGE
2019-04-30,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2020-09-17,LIQUOR LAW VIOLATION,TAVERN / LIQUOR STORE
2017-02-15,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-02-18,CONCEALED CARRY LICENSE VIOLATION,HOSPITAL BUILDING/GROUNDS
2019-07-17,CRIMINAL SEXUAL ASSAULT,SCHOOL - PUBLIC GROUNDS
2019-02-12,CRIM SEXUAL ASSAULT,DAY CARE CENTER
2017-12-01,HOMICIDE,NOT IDENTIFIED
2020-09-24,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2020-04-29,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2020-08-20,SEX OFFENSE,BANK
2020-01-28,CRIM SEXUAL ASSAULT,COLLEGE/UNIVERSITY GROUNDS
2019-05-10,CRIMINAL SEXUAL ASSAULT,LAKEFRONT / WATERFRONT / RIVERBANK
2020-08-29,HOMICIDE,YARD
2017-03-16,HOMICIDE,NOT IDENTIFIED
2020-01-09,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2018-08-02,SEX OFFENSE,AIRCRAFT
2019-07-15,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2018-06-06,NON-CRIMINAL,POLICE FACILITY/VEH PARKING LOT
2019-11-21,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-05-20,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2018-11-24,CONCEALED CARRY LICENSE VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
2019-04-23,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2020-03-18,SEX OFFENSE,NURSING / RETIREMENT HOME
2018-06-19,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2017-01-09,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2019-01-13,GAMBLING,TAVERN/LIQUOR STORE
2017-08-06,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-07-12,SEX OFFENSE,DRUG STORE
2019-02-02,SEX OFFENSE,CTA PLATFORM
