CRIME_DATE,OFFENSE,LOCATION
2019-09-24,SEX OFFENSE,"SCHOOL, PRIVATE, BUILDING"
2019-10-14,CRIMINAL SEXUAL ASSAULT,NURSING / RETIREMENT HOME
2020-06-08,INTIMIDATION,POLICE FACILITY / VEHICLE PARKING LOT
2018-11-10,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2020-01-01,CRIM SEXUAL ASSAULT,"SCHOOL, PRIVATE, BUILDING"
2018-10-26,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2018-09-17,CRIM SEXUAL ASSAULT,MEDICAL/DENTAL OFFICE
2020-09-05,SEX OFFENSE,HOSPITAL BUILDING / GROUNDS
2018-11-27,SEX OFFENSE,BARBERSHOP
2020-07-04,ARSON,VACANT LOT / LAND
2017-03-30,HOMICIDE,NOT IDENTIFIED
2017-02-21,INTIMIDATION,POLICE FACILITY/VEH PARKING LOT
2019-10-01,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2017-03-13,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2019-05-28,SEX OFFENSE,SCHOOL - PUBLIC BUILDING
2017-09-09,CRIM SEXUAL ASSAULT,GOVERNMENT BUILDING/PROPERTY
2018-06-20,ARSON,CHA PARKING LOT/GROUNDS
2019-03-08,CRIM SEXUAL ASSAULT,HOSPITAL BUILDING/GROUNDS
2018-12-17,ARSON,"SCHOOL, PRIVATE, BUILDING"
2019-05-11,KIDNAPPING,LIBRARY
2019-03-08,SEX OFFENSE,OTHER COMMERCIAL TRANSPORTATION
2020-12-07,HOMICIDE,HOUSE
2020-11-29,HOMICIDE,GANGWAY
2019-08-14,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-11-08,HOMICIDE,NOT IDENTIFIED
2018-08-30,INTERFERENCE WITH PUBLIC OFFICER,ABANDONED BUILDING
2019-01-20,HOMICIDE,PORCH
2019-12-06,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2018-01-22,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME
2020-05-30,HOMICIDE,HOUSE
2020-09-14,CRIMINAL SEXUAL ASSAULT,HOSPITAL BUILDING / GROUNDS
2017-10-26,NON-CRIMINAL,TAXICAB
2017-04-09,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2017-01-18,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2020-07-28,HOMICIDE,NOT IDENTIFIED
2019-12-10,INTERFERENCE WITH PUBLIC OFFICER,VACANT LOT/LAND
2017-06-15,STALKING,CTA BUS
2017-07-22,CRIM SEXUAL ASSAULT,WAREHOUSE
2017-12-10,CRIM SEXUAL ASSAULT,HOTEL/MOTEL
2020-10-05,CRIMINAL SEXUAL ASSAULT,HOTEL / MOTEL
2019-10-18,INTERFERENCE WITH PUBLIC OFFICER,SPORTS ARENA/STADIUM
2019-11-04,HOMICIDE,NOT IDENTIFIED
2018-09-05,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
2019-03-20,CRIMINAL SEXUAL ASSAULT,OTHER COMMERCIAL TRANSPORTATION
2020-02-01,SEX OFFENSE,NURSING / RETIREMENT HOME
2019-04-28,HOMICIDE,HOUSE
2017-08-31,LIQUOR LAW VIOLATION,TAVERN/LIQUOR STORE
