"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","dewp","NUM_CRIMES"
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2017,40.9,9,6.7,34.7,0.364779874213836
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2017,43.3,12.1,6.8,39.1,0.433962264150943
"87",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2017,39.3,14.1,6,35.8,0.70440251572327
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,44.6,5.8,10,26.3,0.874213836477987
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,49.7,4.9,10,27.1,0.430817610062893
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,50.4,6.2,8.9,39.7,0.452830188679245
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,48.9,8.9,8,43.3,0.5
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,44.8,9.9,6.9,39.3,0.251572327044025
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,42.9,17.5,8.7,33.8,0.361635220125786
"94",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,43.8,11.1,10,22.4,0.477987421383648
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,49.9,9.3,10,27.1,0.449685534591195
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,64.1,15.7,10,44.1,0.654088050314465
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,68.8,15.7,9.9,53.2,0.408805031446541
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2017,46.8,8.7,7.3,39.6,0.471698113207547
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,47.7,5.5,10,35.7,0.544025157232704
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,49.7,8.6,9.5,33.7,0.352201257861635
